Title,URL handle,Description,Vendor,Type,Tags,Published on online store,Status,SKU,Option1 name,Option1 value,Price,Cost per item,Charge tax,Inventory tracker,Inventory quantity,Continue selling when out of stock,Compare-at price,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,SEO title,SEO description
Drop B Firming Glow Ampoule 40ml,drop-b-firming-glow-ampoule-40ml-1048583,<p>Experience the Drop B Firming Glow Ampoule in a convenient 40ml size designed for your daily skincare routine.</p><p>Apply gently to the skin to help maintain a radiant and smooth appearance every day.</p>,MD family,Face Serum,"drop-b, glow-ampoule, face-serum, korean-skincare, firming-ampoule, k-beauty, facial-serum",false,draft,DAISO-1048583,Title,Default Title,18.99,6.4,true,shopify,0,deny,24.0,0,g,true,manual,https://cdn.daisomall.co.kr/file/PD/20251002/GuN4uykABHahtwRmVfHO1048583_00_00GuN4uykABHahtwRmVfHO.png,1,Drop B Firming Glow Ampoule 40ml,Drop B Firming Glow Ampoule 40ml,Discover the Drop B Firming Glow Ampoule 40ml for a radiant and smooth complexion. Simple skincare for your daily routine.
Vprove Marine Mild Mineral Sunscreen SPF50+ PA++++ 50 ml,vprove-marine-mild-mineral-sunscreen-spf50-pa-50-ml-1045146,"<p>Discover the Vprove Marine Mild Mineral Sunscreen, featuring an SPF50+ PA++++ formula designed for daily sun protection. This gentle physical sunscreen helps shield your skin from UV rays.</p><p>Presented in a convenient 50 ml size, it offers a comfortable, lightweight application suitable for your daily skincare routine.</p>",MD family,Sunscreen,"vprove, mineral-sunscreen, physical-sunscreen, spf50, korean-sunscreen, sun-care, face-sunscreen, mild-sunscreen",false,draft,DAISO-1045146,Title,Default Title,18.99,6.4,true,shopify,0,deny,24.0,0,g,true,manual,https://cdn.daisomall.co.kr/file/PD/20250425/ATDev4SQOg7J1IEOb9j01045146_00_01ATDev4SQOg7J1IEOb9j0.jpg,1,Vprove Marine Mild Mineral Sunscreen SPF50+ PA++++ 50 ml,Vprove Marine Mild Mineral Sunscreen SPF50+ 50 ml,Protect your skin with Vprove Marine Mild Mineral Sunscreen SPF50+ PA++++. A gentle physical sunscreen in a 50 ml size for daily UV defense.
VT Cica Calming Toner 300 ml,vt-cica-calming-toner-300-ml-1049271,"<p>Discover the refreshing hydration of VT Cica Calming Toner, formulated in a generous 300 ml size.</p><p>This soothing toner helps prep your skin daily, leaving it feeling balanced and comfortable.</p>",MD family,Toner,"vt-cica, cica-toner, calming-toner, korean-toner, facial-toner, skincare, vt-cosmetics",false,draft,DAISO-1049271,Title,Default Title,18.99,9.28,true,shopify,0,deny,24.0,0,g,true,manual,https://cdn.daisomall.co.kr/file/PD/20250929/nWv2JvG9ZseKOt8YvImo1049271_00_01nWv2JvG9ZseKOt8YvImo.jpg,1,VT Cica Calming Toner 300 ml,VT Cica Calming Toner 300 ml,Refresh and hydrate your skin with VT Cica Calming Toner 300 ml. A soothing facial toner for daily skincare routines.
DropB Blemish Clear Ampoule 40ml,dropb-blemish-clear-ampoule-40ml-1048581,"<p>Discover the DropB Blemish Clear Ampoule in a convenient 40ml size, designed to help you maintain a clear and vibrant complexion.</p><p>This gentle facial ampoule is easy to incorporate into your daily skincare routine for a fresh and polished look.</p>",MD family,Face Serum,"dropb, blemish-clear-ampoule, korean-skincare, face-serum, facial-ampoule, k-beauty, skincare-routine",false,draft,DAISO-1048581,Title,Default Title,18.99,6.4,true,shopify,0,deny,24.0,0,g,true,manual,https://cdn.daisomall.co.kr/file/PD/20251002/dGPcdv5GMSvAapO6LS5d1048581_00_00dGPcdv5GMSvAapO6LS5d.png,1,DropB Blemish Clear Ampoule 40ml,DropB Blemish Clear Ampoule 40ml,Shop the DropB Blemish Clear Ampoule 40ml for a fresh and clear complexion. A lightweight addition to your daily skincare routine.
Celderma Daily PDRN Radiance Cream Wrapping Mask 1ea,celderma-daily-pdrn-radiance-cream-wrapping-mask-1ea-1075857,"<p>Experience the Celderma Daily PDRN Radiance Cream Wrapping Mask, designed to help deliver a radiant glow to your skin. This convenient single-sheet mask is easy to apply and fits comfortably for daily skincare routines.</p><p>Incorporate this cream wrapping mask into your regular skincare regimen to help maintain a smooth and luminous complexion. Perfect for giving your skin a fresh and polished look anytime.</p>",MD family,Face Mask,"celderma, pdrn-mask, radiance-cream, wrapping-mask, korean-skincare, sheet-mask, facial-mask",false,draft,DAISO-1075857,Title,Default Title,18.99,4.41,true,shopify,0,deny,24.0,0,g,true,manual,https://cdn.daisomall.co.kr/file/PD/20260205/Cg7pPAF0QMRSGGKdsWZw1075857_00_01Cg7pPAF0QMRSGGKdsWZw.jpg,1,Celderma Daily PDRN Radiance Cream Wrapping Mask 1ea,Celderma Daily PDRN Radiance Cream Wrapping Mask,Discover the Celderma Daily PDRN Radiance Cream Wrapping Mask for a radiant and glowing complexion. Convenient single sheet mask for daily skincare.
SCINIC Power Homme Watery Sun Cream 50 ml,scinic-power-homme-watery-sun-cream-50-ml-1068776,"<p>Discover the SCINIC Power Homme Watery Sun Cream in a convenient 50 ml size, designed for daily sun protection. This lightweight formula absorbs smoothly to help shield your skin from the sun.</p><p>Incorporate this refreshing watery sun cream into your daily skincare routine for effortless protection and a comfortable, non-greasy feel throughout the day.</p>",MD family,Sunscreen,"scinic, power-homme, watery-sun-cream, korean-sunscreen, mens-sunscreen, face-sunscreen, skincare",false,draft,DAISO-1068776,Title,Default Title,18.99,6.4,true,shopify,0,deny,24.0,0,g,true,manual,https://cdn.daisomall.co.kr/file/PD/20250814/kDp8f0Zwxqfnlp3FmmwS1068776_00_01kDp8f0Zwxqfnlp3FmmwS.png,1,SCINIC Power Homme Watery Sun Cream 50 ml,SCINIC Power Homme Watery Sun Cream 50 ml,Shop the SCINIC Power Homme Watery Sun Cream 50 ml for daily sun protection. Lightweight and refreshing watery formula for your skincare routine.
Celderma Daily Transforming Firming Collagen Mask 28g,celderma-daily-transforming-firming-collagen-mask-28g-1059834,"<p>Discover the Celderma Daily Transforming Firming Collagen Mask, designed to give your daily skincare routine a refreshing boost. This 28g sheet mask delivers convenient and soothing care for your skin.</p><p>Simply apply to clean skin, relax, and let the collagen-infused formula help refresh your complexion. Perfect for an easy at-home spa experience.</p>",MD family,Face Mask,"celderma, sheet-mask, collagen-mask, korean-beauty, facial-mask, skincare",false,draft,DAISO-1059834,Title,Default Title,18.99,3.7,true,shopify,0,deny,24.0,0,g,true,manual,https://cdn.daisomall.co.kr/file/PD/20250429/dEtwcu53V3cOWvQ0SnSL1059834_00_01dEtwcu53V3cOWvQ0SnSL.jpg,1,Celderma Daily Transforming Firming Collagen Mask 28g,Celderma Daily Transforming Firming Collagen Mask 28g,Revitalize your skin with the Celderma Daily Transforming Firming Collagen Mask 28g. A simple and refreshing addition to your daily K-beauty routine.
Cell Fusion C Derma Block PDRN Collagen Cream 50ml,cell-fusion-c-derma-block-pdrn-collagen-cream-50ml-1062781,"<p>Discover the Cell Fusion C Derma Block PDRN Collagen Cream in a convenient 50 ml size. Formulated with PDRN and collagen, this daily face cream provides essential moisture for your skincare routine.</p><p>Smooth onto clean skin morning and night for a hydrated and refreshed look. Suitable for all skin types looking to add nourishing hydration.</p>",MD family,Face Cream,"cell-fusion-c, pdrn-cream, collagen-cream, korean-skincare, face-cream, moisturizer, k-beauty",false,draft,DAISO-1062781,Title,Default Title,18.99,6.4,true,shopify,0,deny,24.0,0,g,true,manual,https://cdn.daisomall.co.kr/file/PD/20250404/6HrSkUDbK4Z2Mx8SUSMH1062781_00_016HrSkUDbK4Z2Mx8SUSMH.jpg,1,Cell Fusion C Derma Block PDRN Collagen Cream 50ml,Cell Fusion C Derma Block PDRN Collagen Cream 50ml,Shop Cell Fusion C Derma Block PDRN Collagen Cream 50ml. A hydrating face cream formulated with PDRN and collagen for daily skincare.
Medipeel Lacto Pore Lifting Wrapping Mask 4ml 4pk,medipeel-lacto-pore-lifting-wrapping-mask-4ml-4pk-1060487,"<p>Experience the Medi-Peel Lacto Pore Lifting Wrapping Mask, conveniently packaged in a 4-pack of 4ml sizes. This specialized facial mask is designed for your regular skincare routine.</p><p>Apply the wrapping mask smoothly to clean skin as directed, let it set, and gently remove it to help refine the look of your facial pores.</p>",MD family,Face Mask,"medi-peel, pore-mask, wrapping-mask, k-beauty, face-mask, korean-skincare, peel-off-mask",false,draft,DAISO-1060487,Title,Default Title,18.99,4.1,true,shopify,0,deny,24.0,0,g,true,manual,https://cdn.daisomall.co.kr/file/PD/20260721/H4aAY1oXhdnLm8POPll11060487_00_00H4aAY1oXhdnLm8POPll1.jpg,1,Medipeel Lacto Pore Lifting Wrapping Mask 4ml 4pk,Medi-Peel Lacto Pore Lifting Wrapping Mask 4ml 4 Pack,Shop the Medi-Peel Lacto Pore Lifting Wrapping Mask 4ml 4-pack from Korea. A convenient facial mask designed to help refine and care for skin pores.
Chaebigonggan Heartleaf Extract Vegan Toner 150 ml,chaebigonggan-heartleaf-extract-vegan-toner-150-ml-1041403,"<p>Discover the refreshing benefits of Chaebigonggan Heartleaf Extract Vegan Toner, formulated with heartleaf extract in a 150 ml size.</p><p>Incorporating this gentle vegan toner into your daily routine helps hydrate and refresh your skin effortlessly.</p>",MD family,Toner,"toner, vegan-toner, heartleaf-toner, korean-skincare, facial-toner, chaebigonggan, skincare",false,draft,DAISO-1041403,Title,Default Title,18.99,7.83,true,shopify,0,deny,24.0,0,g,true,manual,https://cdn.daisomall.co.kr/file/PD/20260122/Z6JojzxiZ6XYe11NJuOd1041403_00_00Z6JojzxiZ6XYe11NJuOd.jpg,1,Chaebigonggan Heartleaf Extract Vegan Toner 150 ml,Chaebigonggan Heartleaf Extract Vegan Toner 150 ml,Shop the Chaebigonggan Heartleaf Extract Vegan Toner 150 ml for a refreshing addition to your daily skincare routine.
