Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Cost per item,pd_no,name_ko,daiso_url,shopify_score
피부결케어vt-리들샷-300-페이셜-부스팅-퍼스트-앰플-2-ml6개입,[피부결케어]VT 리들샷 300 페이셜 부스팅 퍼스트 앰플 2 ml*6개입,<p>[피부결케어]VT 리들샷 300 페이셜 부스팅 퍼스트 앰플 2 ml*6개입</p><p><em>글로벌 'Skin1004 Madagascar Centella Ampoule' (tiktok_shop_us) 유사 70% · 토큰 ampoule</em></p>,Daiso Korea,,스킨케어,"daiso,s-grade,k-beauty,ampoule",false,Title,Default Title,DAISO-1049276,0,,,deny,manual,,,true,true,,https://cdn.daisomall.co.kr/file/PD/20251226/biuEYxzjCmX6JMJEi1e01049276_00_01biuEYxzjCmX6JMJEi1e0.jpg,1,[피부결케어]VT 리들샷 300 페이셜 부스팅 퍼스트 앰플 2 ml*6개입,false,[피부결케어]VT 리들샷 300 페이셜 부스팅 퍼스트 앰플 2 ml*6개입,글로벌 'Skin1004 Madagascar Centella Ampoule' (tiktok_shop_us) 유사 70% · 토큰 ampoule,draft,3000,1049276,[피부결케어]VT 리들샷 300 페이셜 부스팅 퍼스트 앰플 2 ml*6개입,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1049276,100
본셉-레티놀-500-iu-세럼-30-ml,본셉 레티놀 500 IU 세럼 30 ml,"<p>본셉 레티놀 500 IU 세럼 30 ml</p><p><em>글로벌 'Some By Mi Retinol Intense Reactivating Serum' (tiktok_shop_us) 유사 88% · 토큰 retinol, serum</em></p>",Daiso Korea,,스킨케어,"daiso,s-grade,k-beauty,retinol,serum",false,Title,Default Title,DAISO-1055167,0,,,deny,manual,,,true,true,,https://cdn.daisomall.co.kr/file/PD/20251216/0lOXklS1nx5HxNuMya731055167_00_000lOXklS1nx5HxNuMya73.jpg,1,본셉 레티놀 500 IU 세럼 30 ml,false,본셉 레티놀 500 IU 세럼 30 ml,"글로벌 'Some By Mi Retinol Intense Reactivating Serum' (tiktok_shop_us) 유사 88% · 토큰 retinol, serum",draft,5000,1055167,본셉 레티놀 500 IU 세럼 30 ml,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1055167,98
피부결케어vt-리들샷-100-페이셜-부스팅-퍼스트-앰플-2-ml6개입,[피부결케어]VT 리들샷 100 페이셜 부스팅 퍼스트 앰플 2 ml*6개입,<p>[피부결케어]VT 리들샷 100 페이셜 부스팅 퍼스트 앰플 2 ml*6개입</p><p><em>글로벌 'Skin1004 Madagascar Centella Ampoule' (tiktok_shop_us) 유사 70% · 토큰 ampoule</em></p>,Daiso Korea,,스킨케어,"daiso,s-grade,k-beauty,ampoule",false,Title,Default Title,DAISO-1049275,0,,,deny,manual,,,true,true,,https://cdn.daisomall.co.kr/file/PD/20251226/0XsdymYj3PJyHpuxNOsm1049275_00_010XsdymYj3PJyHpuxNOsm.jpg,1,[피부결케어]VT 리들샷 100 페이셜 부스팅 퍼스트 앰플 2 ml*6개입,false,[피부결케어]VT 리들샷 100 페이셜 부스팅 퍼스트 앰플 2 ml*6개입,글로벌 'Skin1004 Madagascar Centella Ampoule' (tiktok_shop_us) 유사 70% · 토큰 ampoule,draft,3000,1049275,[피부결케어]VT 리들샷 100 페이셜 부스팅 퍼스트 앰플 2 ml*6개입,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1049275,98
영양광채vt-pdrn-광채-크림-50-ml,[영양광채]VT PDRN 광채 크림 50 ml,"<p>[영양광채]VT PDRN 광채 크림 50 ml</p><p><em>글로벌 'ANUA PDRN Hyaluronic Acid 100 Moisturizing Cream, 2.02 fl oz | Lightweight, Non-Greasy Hydrating Face Moisturizer with Salmon DNA for Glass Skin, Korean Skincare' (amazon_best_sellers) 유사 77% · 토큰 cream, pdrn</em></p>",Daiso Korea,,스킨케어,"daiso,s-grade,k-beauty,cream,pdrn",false,Title,Default Title,DAISO-1067498,0,,,deny,manual,,,true,true,,https://cdn.daisomall.co.kr/file/PD/20251226/wj1JQs4g8q0tBuz4c7jF1067498_00_01wj1JQs4g8q0tBuz4c7jF.jpg,1,[영양광채]VT PDRN 광채 크림 50 ml,false,[영양광채]VT PDRN 광채 크림 50 ml,"글로벌 'ANUA PDRN Hyaluronic Acid 100 Moisturizing Cream, 2.02 fl oz | Lightweight, Non-Greasy Hydrating Face Moisturizer with Salmon DNA for Glass Skin, Korean Sk",draft,5000,1067498,[영양광채]VT PDRN 광채 크림 50 ml,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1067498,96
셀더마데일리-pdrn-광채-크림-랩핑-마스크-1매,셀더마데일리 PDRN 광채 크림 랩핑 마스크 1매,"<p>셀더마데일리 PDRN 광채 크림 랩핑 마스크 1매</p><p><em>글로벌 'ANUA PDRN Hyaluronic Acid 100 Moisturizing Cream, 2.02 fl oz | Lightweight, Non-Greasy Hydrating Face Moisturizer with Salmon DNA for Glass Skin, Korean Skincare' (amazon_best_sellers) 유사 57% · 토큰 cream, pdrn</em></p>",Daiso Korea,,스킨케어,"daiso,s-grade,k-beauty,cream,pdrn",false,Title,Default Title,DAISO-1075857,0,,,deny,manual,,,true,true,,https://cdn.daisomall.co.kr/file/PD/20260205/Cg7pPAF0QMRSGGKdsWZw1075857_00_01Cg7pPAF0QMRSGGKdsWZw.jpg,1,셀더마데일리 PDRN 광채 크림 랩핑 마스크 1매,false,셀더마데일리 PDRN 광채 크림 랩핑 마스크 1매,"글로벌 'ANUA PDRN Hyaluronic Acid 100 Moisturizing Cream, 2.02 fl oz | Lightweight, Non-Greasy Hydrating Face Moisturizer with Salmon DNA for Glass Skin, Korean Sk",draft,2000,1075857,셀더마데일리 PDRN 광채 크림 랩핑 마스크 1매,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1075857,94
수분보습vt-슈퍼-히알론-슬리핑-마스크-4-ml-6개입,[수분보습]VT 슈퍼 히알론 슬리핑 마스크 4 ml 6개입,"<p>[수분보습]VT 슈퍼 히알론 슬리핑 마스크 4 ml 6개입</p><p><em>글로벌 'BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Face Mask, Pore Minimizing, Elasticity, Plumping, Travel Essentials & Self Care Gifts for Women, Korean Skin Care | 1.19oz(34g) x 4ea' (amazon_best_sellers) 유사 64% · 토큰 hydrating, mask</em></p>",Daiso Korea,,스킨케어,"daiso,s-grade,k-beauty,hydrating,mask",false,Title,Default Title,DAISO-1049285,0,,,deny,manual,,,true,true,,https://cdn.daisomall.co.kr/file/PD/20250929/gblFwiiyQbV92ezzjLMk1049285_00_01gblFwiiyQbV92ezzjLMk.jpg,1,[수분보습]VT 슈퍼 히알론 슬리핑 마스크 4 ml 6개입,false,[수분보습]VT 슈퍼 히알론 슬리핑 마스크 4 ml 6개입,"글로벌 'BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Face Mask, Pore Minimizing, Elasticity, Plumping, Travel Essentials & Self Care Gifts fo",draft,3000,1049285,[수분보습]VT 슈퍼 히알론 슬리핑 마스크 4 ml 6개입,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1049285,93
셀더마데일리-트랜스포밍-퍼밍-콜라겐-마스크-28-g,셀더마데일리 트랜스포밍 퍼밍 콜라겐 마스크 28 g,"<p>셀더마데일리 트랜스포밍 퍼밍 콜라겐 마스크 28 g</p><p><em>글로벌 'Biodance Bio-Collagen Real Deep Mask' (tiktok_shop_us) 유사 88% · 토큰 collagen, mask</em></p>",Daiso Korea,,마스크팩,"daiso,s-grade,k-beauty,collagen,mask",false,Title,Default Title,DAISO-1059834,0,,,deny,manual,,,true,true,,https://cdn.daisomall.co.kr/file/PD/20250429/dEtwcu53V3cOWvQ0SnSL1059834_00_01dEtwcu53V3cOWvQ0SnSL.jpg,1,셀더마데일리 트랜스포밍 퍼밍 콜라겐 마스크 28 g,false,셀더마데일리 트랜스포밍 퍼밍 콜라겐 마스크 28 g,"글로벌 'Biodance Bio-Collagen Real Deep Mask' (tiktok_shop_us) 유사 88% · 토큰 collagen, mask",draft,2000,1059834,셀더마데일리 트랜스포밍 퍼밍 콜라겐 마스크 28 g,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1059834,89
셀더마데일리-콜라겐-에센스겔-마스크-29-g,셀더마데일리 콜라겐 에센스겔 마스크 29 g,"<p>셀더마데일리 콜라겐 에센스겔 마스크 29 g</p><p><em>글로벌 'Biodance Bio-Collagen Real Deep Mask' (tiktok_shop_us) 유사 68% · 토큰 collagen, mask</em></p>",Daiso Korea,,마스크팩,"daiso,s-grade,k-beauty,collagen,mask",false,Title,Default Title,DAISO-1042619,0,,,deny,manual,,,true,true,,https://cdn.daisomall.co.kr/file/PD/20240109/8IB1YBxg81UqZXiKzXFM1042619_00_008IB1YBxg81UqZXiKzXFM.jpg,1,셀더마데일리 콜라겐 에센스겔 마스크 29 g,false,셀더마데일리 콜라겐 에센스겔 마스크 29 g,"글로벌 'Biodance Bio-Collagen Real Deep Mask' (tiktok_shop_us) 유사 68% · 토큰 collagen, mask",draft,1000,1042619,셀더마데일리 콜라겐 에센스겔 마스크 29 g,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1042619,88
채비공간-어성초-추출물-비건-토너-150-ml,채비공간 어성초 추출물 비건 토너 150 ml,"<p>채비공간 어성초 추출물 비건 토너 150 ml</p><p><em>글로벌 'ANUA Heartleaf 77 Soothing Toner' (tiktok_shop_us) 유사 92% · 토큰 heartleaf, toner</em></p>",Daiso Korea,,스킨케어,"daiso,s-grade,k-beauty,heartleaf,toner",false,Title,Default Title,DAISO-1041403,0,,,deny,manual,,,true,true,,https://cdn.daisomall.co.kr/file/PD/20260122/Z6JojzxiZ6XYe11NJuOd1041403_00_00Z6JojzxiZ6XYe11NJuOd.jpg,1,채비공간 어성초 추출물 비건 토너 150 ml,false,채비공간 어성초 추출물 비건 토너 150 ml,"글로벌 'ANUA Heartleaf 77 Soothing Toner' (tiktok_shop_us) 유사 92% · 토큰 heartleaf, toner",draft,5000,1041403,채비공간 어성초 추출물 비건 토너 150 ml,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1041403,87
바세린-모이스처라이징-클렌징-밀크-140-ml,바세린 모이스처라이징 클렌징 밀크 140 ml,"<p>바세린 모이스처라이징 클렌징 밀크 140 ml</p><p><em>글로벌 'ROUND LAB Birch Juice Moisturizing UVLOCK 1.69 fl. oz.(50ml) + Cleanser 0.67 fl. oz.(20ml) + OUWR Scrunchie Set' (oliveyoung_us) 유사 70% · 토큰 cleanser, moisturizer</em></p>",Daiso Korea,,클렌징,"daiso,s-grade,k-beauty,cleanser,moisturizer",false,Title,Default Title,DAISO-1060211,0,,,deny,manual,,,true,true,,https://cdn.daisomall.co.kr/file/PD/20250311/QGjtoQh4Tv8bUcOEAchc1060211_00_01QGjtoQh4Tv8bUcOEAchc.jpg,1,바세린 모이스처라이징 클렌징 밀크 140 ml,false,바세린 모이스처라이징 클렌징 밀크 140 ml,"글로벌 'ROUND LAB Birch Juice Moisturizing UVLOCK 1.69 fl. oz.(50ml) + Cleanser 0.67 fl. oz.(20ml) + OUWR Scrunchie Set' (oliveyoung_us) 유사 70% · 토큰 cleanser, mois",draft,5000,1060211,바세린 모이스처라이징 클렌징 밀크 140 ml,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1060211,87
