Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Variant Price,Variant SKU,Demand Score,ROAS
makeup-&-nails,Makeup & Nails,<p>Makeup trending product.</p>,JARVIS K-Beauty,Beauty & Personal Care,Skincare,"Ulta Skincare,Ulta Makeup",TRUE,38.15,JB-007,79,3.7
foundation,Foundation,<p>Foundation trending product.</p>,JARVIS K-Beauty,Beauty & Personal Care,Skincare,"Ulta Skincare,Ulta Makeup",TRUE,38.15,JB-008,79,3.7
bb-&-cc-creams,BB & CC Creams,<p>BB trending product.</p>,JARVIS K-Beauty,Beauty & Personal Care,Skincare,"Ulta Skincare,Ulta Makeup",TRUE,38.15,JB-009,79,3.7
tinted-moisturizer,Tinted Moisturizer,<p>Tinted trending product.</p>,JARVIS K-Beauty,Beauty & Personal Care,Skincare,"Ulta Skincare,Ulta Makeup",TRUE,38.15,JB-010,79,3.7
face-primer,Face Primer,<p>Face trending product.</p>,JARVIS K-Beauty,Beauty & Personal Care,Skincare,"Ulta Skincare,Ulta Makeup",TRUE,38.15,JB-011,79,3.7
highlighter,Highlighter,<p>Highlighter trending product.</p>,JARVIS K-Beauty,Beauty & Personal Care,Skincare,"Ulta Skincare,Ulta Makeup",TRUE,38.15,JB-012,79,3.7
contouring,Contouring,<p>Contouring trending product.</p>,JARVIS K-Beauty,Beauty & Personal Care,Skincare,"Ulta Skincare,Ulta Makeup",TRUE,38.15,JB-013,79,3.7
color-correcting,Color Correcting,<p>Color trending product.</p>,JARVIS K-Beauty,Beauty & Personal Care,Skincare,"Ulta Skincare,Ulta Makeup",TRUE,38.15,JB-014,79,3.7
setting-spray-&-powder,Setting Spray & Powder,<p>Setting trending product.</p>,JARVIS K-Beauty,Beauty & Personal Care,Skincare,"Ulta Skincare,Ulta Makeup",TRUE,38.15,JB-015,79,3.7
makeup-remover,Makeup Remover,<p>Makeup trending product.</p>,JARVIS K-Beauty,Beauty & Personal Care,Skincare,"Ulta Skincare,Ulta Makeup",TRUE,38.15,JB-016,79,3.7
lip-plumpers,Lip Plumpers,<p>Lip trending product.</p>,JARVIS K-Beauty,Beauty & Personal Care,Skincare,"Ulta Skincare,Ulta Makeup",TRUE,38.15,JB-017,79,3.7
lip-treatments,Lip Treatments,<p>Lip trending product.</p>,JARVIS K-Beauty,Beauty & Personal Care,Skincare,"Ulta Skincare,Ulta Makeup",TRUE,38.15,JB-018,79,3.7
eyeshadow-palettes,Eyeshadow Palettes,<p>Eyeshadow trending product.</p>,JARVIS K-Beauty,Beauty & Personal Care,Skincare,"Ulta Skincare,Ulta Makeup",TRUE,38.15,JB-019,79,3.7
eye-primer-&-base,Eye Primer & Base,<p>Eye trending product.</p>,JARVIS K-Beauty,Beauty & Personal Care,Skincare,"Ulta Skincare,Ulta Makeup",TRUE,38.15,JB-020,79,3.7
