# 좋은 영상을 보면 여기에 한 줄씩 붙여넣으세요.
# '#' 으로 시작하면 주석입니다.
#
# 형식 1  URL | 메모
# 형식 2  URL | 팀 | 메모
#
# 팀 이름: pricing market listing design legal sourcing knowledge
# 여러 팀은 쉼표로 붙여 씁니다. 팀을 안 적으면 제목과 설명을 보고
# 자동으로 나눕니다. 다만 자동 분류는 추측이라 아는 영상이면 적어주세요.
#
# https://www.youtube.com/watch?v=XXXXXXXXXXX | 왜 넣었는지
# https://www.youtube.com/watch?v=XXXXXXXXXXX | pricing,market | 왜 넣었는지

https://www.youtube.com/watch?v=gugo50_VbjE | Claude 로 쇼피파이 리브랜딩
https://www.youtube.com/watch?v=jUxSAGCaJIU | 쇼피파이 2026 신기능
https://www.youtube.com/watch?v=O4Z5KklVR5I | pricing,market | 스퀘어129 남주미 - 역마진으로 초기 안착, 플랫폼 플레이, 일본 매출이 국내 추월
https://www.youtube.com/watch?v=ehmoVENJEB0 | knowledge | 언어의 정원 - 이미지로 요약하는 법(스키마·마인드맵). 학습법이라 사업팀 아님
https://www.youtube.com/watch?v=IG0V7o6Z3ZE | listing,design,market | G-ROAD - 쇼피파이 드랍쉬핑 스토어 5곳 해부. 브랜딩이 전환을 만든다는 논지
https://www.youtube.com/watch?v=k520NhbFhIE | market,listing,design | The Futur 크리스 두 - 가격 경쟁을 벗어나는 포지셔닝. Liquid Death 등 5개 브랜드 해부
https://www.youtube.com/watch?v=uTr2yXMeL9w | design | Desire - 제품 사진을 광고 컷으로 바꾸는 프롬프트 100개. ChatGPT + Google Flow + Nano Banana 2
https://www.youtube.com/watch?v=QUI6Ug4cHnE | design | Nate Herk - Scrollcraft. 랜딩페이지를 스크롤 연출 사이트로 바꾸는 Claude Code 스킬
https://www.youtube.com/watch?v=SihnYUTfxR8 | design | 찍봇 - 구글 Stitch 무료 디자인 AI 정리. 화면 시안을 코드 없이 뽑는 도구
https://www.youtube.com/watch?v=CVEe0HAd--I | knowledge | 머니스웨거 - 유대인 투자자 전략. 설명란이 비어 있어 내용 미확인. 투자 이야기라 사업 팀 아님
https://www.youtube.com/watch?v=dNUXhId7XfE | knowledge | 방구석컴퍼니 - AI허브 977개 전수 실측. 한국어 데이터 확보 경로와 이용조건
https://www.youtube.com/watch?v=F4Jm1TFv0I0 | design | KBS 크랩 - 기업 전용 폰트를 만드는 이유. 라이선스 자체 해결이 핵심. AI 학습 금지 표기 있음
https://www.youtube.com/watch?v=dPPd65Kvh7Y | listing,design,sourcing | Ali Akbar - Claude 로 월매출 200만불 스토어를 통째로 복제하는 78분 강의. 방법은 참고, 복제 자체는 위험
